"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"11",-0.170954355938023,-0.170954355938023,-0.170954355938023,-0.170954355938023,0.243997712532167,0,0,-0.0196069590427635,-0.0239780058082049,0.816781922814998,1,0,0,-0.116373297137508,-0.221697225656853,0.312244897959184,0.0427385889845057,0,-0.205738634922599,-0.162922615992511,-0.0428490436143497,0.0722228770236512,0.481250738319871,0,0.330612244897959,-0.292872797796062,-0.148141468323102,0.392139180855269,-0.0334862307813211,0.211013984535999,-0.346938775510204,-0.40364222929811,-0.292872797796062,-0.131889736755843,-0.130612244897959,0.406016595352804,0.335340341329694,-0.382272934805857,0,-0.382272934805857,0.738340987084441,-0.183287942991575,0,0,0.197478201005264,0.330612244897959,-0.0349119891412524,0,0.333318303726979,0.352925262769742,0.36734693877551,-0.0213692944922529,0,0.228594100701939,0.16734693877551,0.146938775510204,0.194698016484971,0.384647300860552,0.392139180855269,0.335625858913413,0,0.271705964011366,-0.090206575050486,-0.0757735230424082,-0.0562470936164622,-0.0372600379255215,-0.192323650430276,-0.0260820265478651,-0.0372600379255215,0,-0.216495780121166,-0.0239640610522664,0
"12",0,0,0,0,-0.021785510047515,-0.555601656798575,-0.173328721992718,0.296282936646203,0.186374499691047,0,0,1,0.0413924690902784,0.279295913130019,0.517914527164749,0.33469387755102,0.360903640313604,-0.179132219263508,0.0615457454896664,0.362696776078567,0.320436326159485,0.288891508094605,0,0.446380818282615,0.628571428571429,-0.218199932132828,-0.370353670807754,0.296282936646203,-0.374208628981263,-0.163535838015399,-0.53265306122449,-0.0237436605469476,-0.144496843945739,-0.0271537693320852,-0.16530612244898,0,-0.141588144116982,0.474873210938953,-0.040364222929811,-0.0237436605469476,0,0,0.0678844233302131,-0.440816326530612,-0.149040151702086,0.326530612244898,0,-0.185176835403877,0,-0.148141468323102,-0.0163265306122449,0,0.27805598214037,0,-0.163265306122449,0.408163265306122,0,0,-0.165569876361114,0.293672626549236,0.187574918320886,0,0,0,-0.184257720467721,-0.0186300189627608,0,-0.28503929013024,-0.024219024651589,0,-0.117268547565632,0,0
"13",-0.0266134260158606,0,0,-0.0266134260158606,-0.0122093023255814,0.408072532243195,-0.0202768960120842,-0.387790697674419,0.594531805078283,0,0,0.0413924690902784,1,0.439454180117424,0.565795357849539,0.471656292528699,-0.4334186522583,0.326789581814337,0.504008771191169,0.0439971793992709,0.430561318012039,-0.120946230052594,0.0149838017862469,0.47904166828549,0.0827849381805568,-0.103522775057108,0.222093023255814,-0.363372093023256,0.277480003561866,0.307848932869094,-0.186266110906253,0,-0.125262557819101,0.0284687631407047,0.249444090044046,0.0266134260158606,0.353994986633455,0.0266134260158606,0.0481576280287,0,0.0108749040127504,-0.0108698913809963,0.882014043486561,0.0359460915783997,0.325158316373988,0,0.0108698913809963,-0.0122093023255814,-0.2,-0.0273255813953488,-0.178641182389623,-0.167284392099695,0.811979353940426,0.0149838017862469,0,0,0,-0.215442020128395,0.0319767441860465,0.146296541935626,-0.504387788300595,0,0.0101109346914029,-0.129034785585523,0.0108698913809963,0,-0.0266134260158606,0.0178986229196691,0.0178986229196691,-0.215442020128395,-0.112664700847061,0.0122093023255814,-0.155813953488372
"14",-0.0710814694454241,0,0,-0.0710814694454241,0.453429754750133,-0.218885794800195,0.143291216183633,-0.0678074176624058,0.364094298628976,-0.152317434525909,-0.116373297137508,0.279295913130019,0.439454180117424,1,0.569236111072468,0.668176681064526,0.00676966375670706,0.242661257610489,0.406936950752822,0.421198156682028,0.641829207663358,0.17846222423118,0.0400200503389026,0.792050659534726,0.356878111221691,0.524884792626728,0.455500210251275,-0.0025880693764277,0.0521129602101686,-0.169626696104359,0.0649750909017754,0.535931714072642,0.515668202764977,0.6036866359447,0.566350046069206,0.0710814694454241,-0.189450276468909,0.156830543697047,0.32268730573637,0.535931714072642,0.0290456462404938,-0.0290322580645161,0.352534562211982,-0.180378610563138,-0.2142381631097,-0.0310328792366688,0.0290322580645161,-0.164601212340802,-0.032609674142989,-0.116980735814532,-0.250202588845642,0.0710814694454241,0.725442817254393,0.0400200503389026,-0.116373297137508,-0.038791099045836,0,0,-0.13457960757424,0.225939031546524,-0.278684491317774,-0.145615284333878,0.0270051700560206,0.0270051700560206,-0.233640552995392,-0.356768511294253,-0.0710814694454241,-0.108889644886335,-0.173515206485542,0,0.216470013941118,0.032609674142989,0.032609674142989
"15",0,0,0,0,0.0815381710784924,-0.0411823051844774,0,0.145177719237316,0.363155496422535,-0.136551854032741,-0.221697225656853,0.517914527164749,0.565795357849539,0.569236111072468,1,0.435942443728602,-0.361970787674091,0.23308356514823,0.618016540591305,0.52143090112237,0.38265306122449,0.34283685725272,0.00610166400911596,0.609064618780956,0.121095123257945,0.0717078149251476,0.116341048977849,-0.147166455117279,0.012991657808367,0.205470434274512,-0.324162329952037,0.112709466820675,0.10003682822891,0.252305274736631,0.258957263582374,0.039014815437926,0.188775510204082,0.522365028918898,0.173399179724116,0.112709466820675,-0.0991972701286886,-0.0274437316380195,0.471855127840786,-0.0149040151702086,-0.105442176870748,-0.0130410132739325,0.266469781388512,-0.270468079674999,-0.118329784857812,-0.132250936017555,-0.277587282545135,-0.151724282258601,0.696810029841043,-0.162304262642485,-0.236601240827062,0.212382216175473,-0.136551854032741,-0.136551854032741,-0.146172087177297,0.340425655201708,-0.39014815437926,-0.36831890207767,0.198456173561576,0.16057657196891,-0.252305274736631,-0.120748299319728,-0.0368473256913746,-0.0986394557823129,0.0680272108843537,0,-0.0214102095958547,0,0
"16",-0.04986168714859,0,0,-0.04986168714859,-0.0228747855498907,-0.218441677031918,0.161456891719244,-0.0566423261235389,0.555853771008387,0,0.312244897959184,0.33469387755102,0.471656292528699,0.668176681064526,0.435942443728602,1,0,0.255330252830821,0.216289334149399,0.282205245558457,0.627831639045037,0.0189585052187085,0.481250738319871,0.833402485197862,0.687755102040816,0.0989173025668819,0.164480600858738,0.355103813774494,-0.157385284672209,-0.130125290463866,-0.16530612244898,0,0.0795217530439639,0.243414146512621,0.185714285714286,0.432134621954447,-0.163944166872295,-0.142461963281686,0.339534345821351,-0.192323650430276,0.275543811211539,-0.136738624136572,0.381122548125339,-0.179591836734694,0.141588144116982,0.312244897959184,0.0038791099045836,-0.0228747855498907,0.2919258346367,0.206962345451392,0.0775510204081633,0.00474873210938953,0.763317143279574,0.231267715914827,0.312244897959184,0.277551020408163,0.363278006368299,0.363278006368299,0.226569304494156,0.582683782835786,-0.282549560508677,0.295199336839416,0.0649487340363499,0.0631446025353402,0.0203653269990639,0,-0.220816043086613,-0.0167670170664847,-0.0167670170664847,0,0.0189433807606021,0.0228747855498907,0.0228747855498907
"17",0.0580110497237569,0,0,0.0580110497237569,0.0266134260158606,-0.472375690607735,0.0552486187845304,-0.0735037480438053,-0.201618908511226,0,0.0427385889845057,0.360903640313604,-0.4334186522583,0.00676966375670706,-0.361970787674091,0,1,-0.328167159581991,-0.380528063659629,-0.0203089912701212,0.327290951729268,-0.0220570713071369,0.0606564892118372,0.0580110497237569,0.40364222929811,-0.0383614279546733,-0.267401566159361,0.458764772273406,-0.292193993525651,-0.329381818544087,0,0,-0.0157958820989831,-0.0406179825402424,-0.237436605469476,0.0220994475138122,-0.368473256913746,0.165745856353591,-0.0524861878453039,0.223756906077348,0.0225759519184318,-0.162471930160969,-0.340739742420922,-0.40364222929811,-0.162561730991358,0.0427385889845057,-0.411821211866346,0.0266134260158606,0.0697018300415395,-0.149542108089121,0.0427385889845057,0.519337016574586,-0.262844786584628,0.292395383892959,0.0427385889845057,0.0379898568751162,0.0497237569060774,0.0497237569060774,-0.167284392099695,-0.119313436237133,0.524861878453039,0.0404054740626304,-0.374671073591965,-0.332691121368775,-0.0236938231484747,0,-0.215469613259669,-0.19507407718963,-0.19507407718963,0,-0.0220394749171744,-0.0266134260158606,-0.0266134260158606
"18",0.0326611864986816,0,0,0.0326611864986816,0.0149838017862469,0.561461348858288,0.59412253535697,-0.215481339973646,0.269865376263574,0,0,-0.179132219263508,0.326789581814337,0.242661257610489,0.23308356514823,0.255330252830821,-0.328167159581991,1,0.263773075211834,0.626345549748539,0.23308356514823,-0.0124184982517579,-0.0183887915936953,0.267510670370154,-0.17645860405062,0.447843420459148,0.811979353940426,-0.245448943546139,0.324084860499987,0.461890843493212,-0.252656637617933,0,0.423704342476953,0.696221828118051,0.763317143279574,-0.0326611864986816,0.37098117175425,-0.0326611864986816,0.884962624654753,0,-0.0133461685054763,0.0133400167796342,0.242661257610489,0.406389512359003,-0.025626988838287,0,-0.0133400167796342,0.0149838017862469,0.0149838017862469,-0.0149838017862469,-0.231267715914827,-0.0326611864986816,0.334500875656743,-0.0183887915936953,0,0,0,0,-0.0149838017862469,0.366411547577071,-0.0295505973083309,0,-0.0124085911913443,-0.0124085911913443,-0.0133400167796342,0,0.0326611864986816,0.417353818223532,0.417353818223532,0,-0.0124085911913443,-0.0149838017862469,-0.0149838017862469
"19",-0.0859256917941097,-0.128888537691165,-0.128888537691165,-0.0859256917941097,0.0197098402141798,-0.0552379447247848,-0.284373122842411,-0.0976106372511761,0.482702525970167,0,-0.205738634922599,0.0615457454896664,0.504008771191169,0.406936950752822,0.618016540591305,0.216289334149399,-0.380528063659629,0.263773075211834,1,0.0426155738981394,0.356362784444857,0.184356823254712,-0.125551376410873,0.427582609165927,-0.110782341881399,-0.053478367244724,0.179265689567064,-0.373548400249693,-0.052656890197277,0.139393939393939,-0.174086537242199,0,-0.0685191580323026,0.0726971554732967,0.225081583505066,0.0184126482415949,-0.0192628532132355,0.0859256917941097,0.0756964427710014,0.128888537691165,-0.185588630810037,0.040108775433543,0.297473417798777,0.436095568041065,-0.0160523776776962,-0.258492131056599,0.243159451065854,-0.242149465488495,0.11544334982591,0.211176859437641,0.0105506992267999,0.304831620888627,0.655401221814558,-0.155499411151081,-0.205738634922599,-0.182878786597866,-0.239364427140734,0.108430039644948,0.151108774975378,0.277942580128216,-0.679222135134391,-0.239393586403499,0.167110110377506,0.130579062992656,-0.0927515431900682,-0.0866828394595597,-0.165713834174354,-0.0626042729430153,0.0144471399099266,0.333473518153331,0.181877980596914,-0.0197098402141798,0.251535103685723
"20",0.0236938231484747,0,0,0.0236938231484747,0.219468283121069,0.171498148503245,0.576549696612885,0.0284687631407047,-0.0688827051460225,-0.213244408336272,-0.162922615992511,0.362696776078567,0.0439971793992709,0.421198156682028,0.52143090112237,0.282205245558457,-0.0203089912701212,0.626345549748539,0.0426155738981394,1,0.257616964731086,0.418699833773154,-0.0133400167796342,0.349765960763198,0.0349119891412524,0.57926267281106,0.561093440809526,0.00672898037871202,0.153156409777976,0.368499374295676,-0.255051476226372,0.260632054633222,0.614285714285714,0.795391705069124,0.657509128826921,-0.0236938231484747,0.286831259700591,0.592345578711868,0.726610576553224,0.260632054633222,-0.00968188208016461,0.00967741935483871,0.0115207373271889,0.0834008629485475,-0.336407032982174,0.263779473511685,-0.00967741935483871,-0.156319390336233,0.0108698913809963,-0.160460301338517,-0.285114577986895,-0.0236938231484747,0.196924057223171,-0.0133400167796342,-0.147406176374177,0.329724341889606,0,0,-0.178059173098226,0.451878063093049,0.19519197165172,-0.203861398067429,-0.00900172335200687,-0.00900172335200687,-0.359907834101382,-0.227517388095839,0.0236938231484747,0.124824714869701,0.27974900637465,0,0.0244332490983044,-0.0108698913809963,-0.0108698913809963
