SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sm,USA,1575000,240000,7,0,0,0,0,0,0,0,0,1,3,2,16,-22,0,0,0,177,-105,-35,-37,0,0
sm,USA,1575000,215000,4,0,0,0,0,0,0,0,0,0,0,1,3,-4,0,0,0,13,-1,-12,0,0,0
sm,USA,1600000,365000,3,0,0,0,0,0,0,0,31,27,-58,0,0,0,0,0,0,0,4,-4,0,0,0
sm,USA,1600000,340000,9,0,0,0,0,0,0,0,92,35,-115,-2,-8,-2,0,0,0,0,19,-16,33,-32,-4
sm,USA,1600000,315000,9,0,0,0,0,0,0,14,126,19,-157,5,0,-7,0,0,0,5,30,-35,10,-10,0
sm,USA,1600000,290000,8,0,0,0,0,0,0,2,4,17,-23,22,2,-24,0,0,0,44,202,-221,-25,0,0
sm,USA,1600000,265000,6,0,0,0,0,0,0,0,0,0,1,-1,3,-3,0,0,0,68,52,-78,-11,-31,0
sm,USA,1600000,240000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,-24,-4,-5,0
sm,USA,1625000,415000,3,0,0,0,0,0,0,0,0,0,68,-41,-27,0,0,0,0,0,0,0,0,11,-11
sm,USA,1625000,365000,4,0,0,0,0,0,0,0,32,95,-127,0,3,-3,0,0,8,-8,0,0,0,0,0
sm,USA,1625000,340000,7,0,0,0,0,0,0,0,328,-10,-310,-4,21,-25,0,0,0,2,60,-62,0,0,0
sm,USA,1625000,315000,7,0,0,0,0,0,0,0,99,352,-171,-231,18,-67,0,0,0,2,196,-198,0,0,0
sm,USA,1625000,290000,6,0,0,0,0,0,0,0,0,8,17,-23,-2,0,0,0,0,0,157,-138,-15,-4,0
sm,USA,1625000,265000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,-35,-10,-4,0
sm,USA,1625000,115000,3,0,0,0,0,1,-1,0,0,0,4,-4,1,-1,0,0,0,0,0,0,0,0,0
sm,USA,1650000,365000,6,0,0,0,0,0,0,0,41,9,-42,31,6,-45,0,0,4,-4,0,0,0,0,0
