SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wbbb,CA,-1678963.8779,1380940.4511,22,17,20,-18,-1,-5,60,33,-31,-67,-5,6,7,21,18,6,-17,78,-109,38,0,-26
wbbb,CA,-1653963.8779,1380940.4511,6,0,2,2,0,-4,0,0,0,0,0,0,5,-5,0,0,0,4,-1,-3,0,0
wbbb,CA,-1628963.8779,1380940.4511,21,-1,-1,3,2,1,32,-10,-9,24,20,-64,34,-3,-21,1,-2,16,-26,10,-7,0
wbbb,CA,-1603963.8779,1380940.4511,22,66,56,-32,65,197,407,30,-178,-43,99,-314,-38,194,-338,-7,19,-28,-161,112,-92,-48
wbbb,CA,-1578963.8779,1380940.4511,20,10,22,-4,-27,27,43,25,-20,-30,-28,-22,-1,39,-19,-4,-5,36,-52,46,10,-56
wbbb,CA,-1553963.8779,1380940.4511,22,-9,-5,-4,16,-5,61,-40,18,-7,-31,9,-2,-6,-15,24,-4,114,-117,50,-38,-29
wbbb,CA,-1528963.8779,1380940.4511,9,0,0,0,0,0,10,-7,1,-2,-1,-1,0,0,0,0,5,4,-9,1,5,-6
wbbb,CA,-1503963.8779,1380940.4511,13,0,0,0,0,0,14,-10,11,-10,-4,0,-1,0,0,3,-2,39,-31,-3,31,-34
wbbb,CA,-1478963.8779,1380940.4511,15,0,0,0,2,-2,5,-3,7,-3,-5,3,-4,4,-4,1,2,13,-10,-1,15,-18
wbbb,CA,-1453963.8779,1380940.4511,13,0,0,0,2,-1,20,-9,-7,-5,0,2,-2,0,1,-1,1,4,-3,-1,13,0
wbbb,CA,-1428963.8779,1380940.4511,17,3,-3,0,0,2,21,-17,-1,3,0,-6,-2,5,12,3,-10,62,-24,-36,26,-8
wbbb,CA,-1403963.8779,1380940.4511,12,0,0,0,0,1,1,-1,5,-6,1,2,-3,0,1,-1,1,0,-1,4,1,-4
wbbb,CA,-1378963.8779,1380940.4511,14,2,-2,0,0,0,9,-6,1,4,-6,0,-1,-1,9,-9,3,8,-11,14,12,-11
wbbb,CA,-1353963.8779,1380940.4511,12,0,0,0,0,1,9,-10,1,2,-3,1,5,-6,0,3,4,5,-12,17,-10,8
wbbb,CA,-1853963.8779,1405940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,5,-5,0
wbbb,CA,-1803963.8779,1405940.4511,7,0,0,0,0,0,0,3,-2,1,1,-3,0,0,0,5,-2,-3,0,12,-12,0
