SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wsbw,USA,-1500000,1150000,7,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,6,8,51,-61,62,-43,-23,0,0
wsbw,USA,-1500000,1125000,7,0,0,0,0,0,0,0,0,0,0,0,0,10,-8,2,-4,3,0,15,-12,-6,0,0
wsbw,USA,-1500000,775000,13,0,0,0,0,0,0,0,0,29,-19,24,255,-95,-91,343,-167,46,-195,-81,29,190,-268,0
wsbw,USA,-1500000,750000,12,0,0,0,0,0,0,0,0,0,92,-80,71,-76,45,663,-520,428,-350,-2,-244,160,-187,0
wsbw,USA,-1500000,725000,12,0,0,0,0,0,0,0,0,0,9,-9,171,325,1156,434,-1407,1615,683,-1373,-1066,330,-622,-246
wsbw,USA,-1500000,7e+05,13,0,0,10,-10,0,0,0,0,0,0,104,996,850,1821,-1191,-1827,877,831,-740,-1187,-206,-328,481
wsbw,USA,-1500000,675000,17,0,0,98,-98,0,76,0,-33,245,-141,75,2172,848,1971,-1013,-3462,172,666,274,-1304,-546,0,557
wsbw,USA,-1500000,650000,16,0,0,0,0,0,0,0,145,67,-148,14,935,784,1020,-420,-1987,-115,613,-710,-52,-114,-28,60
wsbw,USA,-1500000,625000,19,0,0,0,20,-20,802,0,-783,126,-125,19,-7,291,493,-438,-76,25,-132,-6,-147,-36,-3,1
wsbw,USA,-1500000,6e+05,9,0,0,48,-48,0,45,0,-45,0,0,0,0,1,116,-117,0,0,9,-3,-6,4,1,-5
wsbw,USA,-1475000,1225000,10,0,0,0,0,0,0,0,31,-31,0,0,0,0,256,133,-260,-26,67,-32,-99,14,-50,-3
wsbw,USA,-1475000,1200000,10,0,0,0,0,0,0,0,29,-29,0,23,-23,0,59,-49,279,-85,274,-204,281,-547,-8,0
wsbw,USA,-1475000,1175000,10,0,0,0,0,0,0,0,79,-73,-6,36,-36,0,0,45,35,468,-341,183,246,-631,-5,0
wsbw,USA,-1475000,1150000,10,0,0,3,-3,0,0,0,6,-6,0,5,-5,59,-43,-16,65,103,-95,45,-21,-97,0,0
wsbw,USA,-1475000,1125000,8,0,0,0,0,0,0,0,0,0,0,14,-14,22,17,-39,44,78,-88,16,-37,-13,0,0
wsbw,USA,-1475000,1100000,8,0,0,0,0,0,0,6,-6,0,0,0,0,4,8,-12,22,46,-66,8,-10,0,5,-5
wsbw,USA,-1475000,8e+05,11,0,0,0,0,0,10,0,-10,0,0,7,12,-19,0,37,43,0,-61,-13,-5,16,-17,0
wsbw,USA,-1475000,775000,13,0,0,0,0,0,0,0,0,0,3,3,16,-6,26,117,320,-91,-198,207,-374,288,-228,-83
wsbw,USA,-1475000,750000,13,0,0,0,0,0,0,0,0,0,20,177,2,343,1255,-166,149,990,2295,-2264,-2180,576,-103,-1094
wsbw,USA,-1475000,725000,14,0,0,0,0,0,0,0,0,90,-83,187,1884,-1384,177,889,-787,1112,1110,-1465,-1494,45,-57,-224
wsbw,USA,-1475000,7e+05,18,0,0,0,0,0,74,0,36,486,-459,281,2973,-2352,2948,-1817,-1153,-344,1134,-234,-1438,-62,-72,14
wsbw,USA,-1475000,675000,16,0,0,0,0,0,581,0,-396,522,-583,-7,1040,729,2496,-1696,-1515,-421,1003,-117,-1439,-197,0,228
wsbw,USA,-1475000,650000,19,0,0,0,73,47,978,0,-488,1,-514,-76,257,406,3358,-2731,-295,151,1493,-871,-1612,-159,-18,20
wsbw,USA,-1475000,625000,18,0,0,0,33,52,1592,0,-1062,-17,-520,442,-390,605,3483,-3019,184,400,1653,-1888,-1532,-16,0,1
wsbw,USA,-1475000,6e+05,16,0,0,0,72,-56,60,0,-21,-53,8,3,-13,46,638,-635,-23,210,167,-376,100,-127,0,0
wsbw,USA,-1475000,25000,3,0,0,0,0,0,0,0,0,0,17,-17,0,0,0,0,0,0,0,0,10,2,-12,0
wsbw,USA,-1450000,1225000,14,0,0,0,0,79,-14,2,141,-176,-20,0,-12,0,54,-1,27,-55,28,-9,-37,-7,0,0
wsbw,USA,-1450000,1200000,16,0,0,0,0,144,546,243,24,-661,-267,68,-97,13,-13,5,239,-122,8,-52,229,-302,-2,-3
wsbw,USA,-1450000,1175000,10,0,0,0,0,0,13,0,160,-97,-76,9,-9,0,0,0,143,114,-247,-3,178,-185,0,0
wsbw,USA,-1450000,1150000,7,0,0,0,0,0,0,0,39,-14,-25,0,0,0,0,0,35,5,-38,6,40,-48,0,0
wsbw,USA,-1450000,1100000,4,0,0,0,0,0,0,0,0,0,0,0,143,-143,279,-279,0,0,1,-1,0,0,2,-2
wsbw,USA,-1450000,1075000,9,0,0,0,0,0,0,0,6,-6,380,243,569,-676,1285,-1787,-14,0,31,-31,0,0,0,1
wsbw,USA,-1450000,8e+05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-15,0,9,-5,-4,0,0
wsbw,USA,-1450000,775000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-15,-5,1,-1,0,3,-3,0
wsbw,USA,-1450000,750000,12,0,0,0,0,0,0,0,0,0,0,19,85,-12,255,-226,1,99,125,-149,-162,-1,77,-111
wsbw,USA,-1450000,725000,13,0,0,0,0,0,0,0,18,80,-98,198,782,-697,894,-700,-99,-9,676,-442,-573,116,-146,0
wsbw,USA,-1450000,7e+05,14,0,0,0,0,0,15,0,147,640,-802,184,975,-986,470,-277,20,-265,197,-136,-182,14,-14,0
wsbw,USA,-1450000,675000,15,0,0,0,0,2,408,0,772,-186,-845,617,794,-619,586,-960,374,-434,723,-486,-746,0,0,0
wsbw,USA,-1450000,650000,17,0,0,0,0,3,650,0,-441,1308,-1454,521,609,-129,3134,-3621,130,796,2226,-1820,-1900,14,-26,0
wsbw,USA,-1450000,625000,18,0,0,0,2,-2,553,0,-317,-75,-127,51,-30,196,1288,-1133,-138,1148,265,-1128,-501,-16,3,-39
wsbw,USA,-1450000,6e+05,10,0,0,0,0,0,0,0,120,-120,0,0,0,164,617,-546,-229,76,111,-179,-14,8,-2,-6
wsbw,USA,-1450000,575000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-5,-9,26,8,-33,3,4,14,-20
wsbw,USA,-1450000,550000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-8,2,71,-73,0,0,2,38,-38
wsbw,USA,-1425000,1225000,9,0,0,0,0,73,0,0,7,-17,-63,0,0,0,0,0,0,6,67,-73,0,0,1,7
wsbw,USA,-1425000,1200000,7,0,0,0,0,1,20,0,394,-359,-56,0,0,0,0,0,9,-9,16,-16,0,0,0,0
wsbw,USA,-1425000,1175000,4,0,0,0,0,0,0,0,4,50,-54,0,0,0,0,0,2,59,-61,0,0,0,0,0
wsbw,USA,-1425000,1150000,6,0,0,0,0,0,0,0,48,282,-268,-52,-10,0,0,0,8,100,-108,0,0,0,0,0
wsbw,USA,-1425000,1125000,7,0,0,0,0,0,0,0,0,0,5,76,-12,37,57,-152,-11,1,-1,0,0,0,0,0
wsbw,USA,-1425000,1100000,11,0,0,0,0,0,0,0,500,59,3450,309,753,-1198,2071,-5942,17,349,-285,-83,0,0,0,0
wsbw,USA,-1425000,1075000,10,0,0,0,0,0,0,0,712,-712,4865,-909,2306,-2469,4545,-8277,-35,133,-98,-61,0,0,0,0
wsbw,USA,-1425000,1050000,8,0,0,0,0,0,0,0,0,0,1004,-946,95,40,1104,-1284,-9,5,-9,0,0,0,0,0
wsbw,USA,-1425000,1025000,10,0,0,0,0,0,0,0,0,142,1089,638,-850,665,564,-2030,-168,-36,-14,0,0,0,8,-8
wsbw,USA,-1425000,1e+06,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,328,-331,-4,0,2,-2,7,-7
wsbw,USA,-1425000,975000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,332,-195,39,-176,6,-6,5,-5,7,-7
wsbw,USA,-1425000,875000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,-24,-2,35,-35,0,25,-25,0,0
wsbw,USA,-1425000,775000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-13,4,-42,0,0,0
wsbw,USA,-1425000,750000,12,0,0,0,0,0,0,0,0,24,-24,101,289,-364,93,-16,690,99,-164,-496,-232,110,-58,-52
wsbw,USA,-1425000,725000,10,0,0,0,0,0,0,0,0,49,-49,62,670,-638,-56,-28,193,-63,72,-209,-3,0,0,0
wsbw,USA,-1425000,7e+05,10,0,0,0,0,0,31,0,-9,28,-50,0,215,-215,68,-37,33,-54,79,-89,0,0,0,0
wsbw,USA,-1425000,675000,12,0,0,0,0,0,2,0,1,30,-26,49,645,-597,573,-670,17,-24,278,-278,0,0,0,0
wsbw,USA,-1425000,650000,15,0,0,0,0,0,106,0,-88,306,-301,209,290,-292,734,-949,42,568,285,-515,-383,-12,0,0
wsbw,USA,-1425000,625000,16,0,0,0,0,0,22,0,-9,48,-37,-24,94,318,102,-507,47,390,291,-594,-42,-83,119,-135
wsbw,USA,-1425000,6e+05,15,0,0,0,0,0,8,0,-3,212,-217,0,35,283,-128,63,-65,225,97,-465,-41,47,104,-155
wsbw,USA,-1425000,575000,15,0,0,0,0,0,3,0,1,-4,0,0,75,9,1363,-595,-770,341,25,-421,25,-37,138,-119
wsbw,USA,-1425000,550000,13,0,0,0,0,0,5,0,1,-6,0,0,0,0,412,20,-425,155,-122,-31,36,36,80,-126
wsbw,USA,-1400000,1200000,7,0,0,0,0,0,0,0,0,40,-29,-11,9,-7,-2,0,0,12,-2,-10,0,0,4,-4
wsbw,USA,-1400000,1150000,9,0,0,0,0,0,0,0,15,128,-143,0,81,-81,0,2,128,212,-336,-3,-3,18,-18,0
wsbw,USA,-1400000,1125000,15,0,0,0,0,164,152,0,-70,-138,299,-375,528,-216,81,-397,-28,110,-8,-77,-25,11,-11,0
wsbw,USA,-1400000,1100000,13,0,0,0,0,0,0,0,15,197,2949,551,754,-933,987,-4478,-9,392,-352,-59,-14,4,-4,0
wsbw,USA,-1400000,1075000,13,0,0,0,0,0,70,0,496,-365,2814,-1412,3012,-2988,4178,-5718,-4,7,-43,-47,0,0,0,0
wsbw,USA,-1400000,1050000,10,0,0,0,0,0,0,0,0,48,1345,-954,1770,-455,4561,-5793,-448,-46,-28,3,-3,0,0,0
