SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
tcbw,CA,-1653963.8779,1830940.4511,7,-116,-368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,-90,328,-338,15
tcbw,CA,-1628963.8779,1830940.4511,7,-118,-390,0,0,0,0,0,0,0,0,0,0,28,-28,0,0,107,51,602,-695,-65
tcbw,CA,-1603963.8779,1830940.4511,4,149,-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,470,-521,0
tcbw,CA,-1578963.8779,1830940.4511,5,150,-150,0,0,0,0,0,0,0,0,27,-27,0,0,0,0,0,97,-40,-57,84
tcbw,CA,-1678963.8779,1855940.4511,5,11,-11,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,3,2,-3,-2,0
tcbw,CA,-1653963.8779,1855940.4511,5,87,-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,61
tcbw,CA,-1603963.8779,1855940.4511,3,235,-235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,149,-170,0
tcbw,CA,-1578963.8779,1855940.4511,3,185,-185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-23,224
tcbw,CA,-1578963.8779,1880940.4511,4,283,-283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-42,247
tcbw,CA,-1828963.8779,1980940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,-23,99,618,-343,-374
tcbw,CA,-1803963.8779,1980940.4511,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,141,586,-200,-527
tcbw,CA,-1778963.8779,1980940.4511,3,0,24,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,-39
tcbw,CA,-1703963.8779,1980940.4511,3,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,278,-278
tcbw,CA,-1853963.8779,2005940.4511,4,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,33,150,41,-224
tcbw,CA,-1828963.8779,2005940.4511,5,0,3,-3,0,0,0,0,0,0,0,0,66,-66,0,0,0,0,19,352,-155,-216
tcbw,CA,-1803963.8779,2005940.4511,11,-3,6,-6,4,-4,0,0,572,-572,124,-79,-27,-18,0,0,0,0,107,-3,31,-128
tcbw,CA,-1753963.8779,2005940.4511,5,-4,-150,0,5,-5,0,0,0,0,0,26,24,-50,0,0,0,0,0,0,0,0
tcbw,CA,-1728963.8779,2005940.4511,3,0,0,0,27,-27,0,0,0,0,0,0,32,-32,0,0,0,0,0,0,369,-369
tcbw,CA,-1703963.8779,2005940.4511,4,0,0,0,25,-25,0,0,0,0,0,0,446,-446,0,0,0,0,103,-103,826,-826
tcbw,CA,-1678963.8779,2005940.4511,5,0,0,0,347,-347,0,0,0,0,0,0,88,-88,0,0,167,-167,267,-267,222,-222
tcbw,CA,-1853963.8779,2030940.4511,4,0,0,0,0,0,0,0,0,0,17,-17,0,0,0,0,0,0,30,17,55,-102
tcbw,CA,-1828963.8779,2030940.4511,5,0,0,0,0,0,0,0,5,-5,161,-146,64,-79,0,0,0,0,0,0,39,-39
tcbw,CA,-1803963.8779,2030940.4511,8,-324,196,-196,396,-396,0,0,387,-387,267,-75,-139,-53,0,0,0,0,0,0,14,-14
tcbw,CA,-1778963.8779,2030940.4511,7,-183,-43,-40,111,-111,0,0,0,0,288,-236,126,-178,0,0,0,0,0,0,0,0
tcbw,CA,-1753963.8779,2030940.4511,7,-13,-83,-65,526,-526,0,0,0,0,244,-136,203,-311,0,0,0,0,0,0,0,0
tcbw,CA,-1728963.8779,2030940.4511,3,0,0,0,111,-111,0,0,0,0,0,0,112,-112,0,0,0,0,0,0,26,-26
tcbw,CA,-1703963.8779,2030940.4511,3,0,0,0,49,-49,0,0,0,0,0,0,139,-139,0,0,0,0,7,-7,0,0
tcbw,CA,-1678963.8779,2030940.4511,4,0,0,0,838,-838,0,0,0,0,0,0,3,-3,0,0,264,-264,406,-406,0,0
tcbw,CA,-1878963.8779,2055940.4511,3,0,0,0,0,0,0,0,178,-178,0,0,0,0,0,0,0,0,347,-331,-16,0
tcbw,CA,-1853963.8779,2055940.4511,7,0,0,0,0,0,0,0,0,0,131,-131,50,-48,-2,0,29,-29,456,-387,-42,-27
tcbw,CA,-1828963.8779,2055940.4511,6,-84,0,0,0,0,0,0,63,-63,934,-794,-60,-80,0,0,0,0,0,0,83,-83
tcbw,CA,-1803963.8779,2055940.4511,5,-925,270,-270,416,-416,0,0,0,0,1028,-1004,-24,0,0,0,0,0,0,0,0,0
tcbw,CA,-1778963.8779,2055940.4511,6,-485,12,-494,435,-435,0,0,0,0,1030,-1030,1,-1,0,0,0,0,0,0,0,0
tcbw,CA,-1753963.8779,2055940.4511,4,-251,-19,-460,0,0,0,0,0,0,215,-215,0,0,0,0,0,0,0,0,0,0
tcbw,CA,-1703963.8779,2055940.4511,3,0,0,0,308,-308,0,0,0,0,0,0,147,-147,0,0,0,0,37,-37,0,0
