"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73"
"11",1274.01923062409,1322.16678221774,1346.29120178363,1370.44700736657,1736.55549868123,474.341649025257,467.038542306735,608.276253029822,70.7106781186548,25,0,375,750,350.891721190455,375.832409459323,475.657439761011,525.594901040716,700.446286306095,725.430906427345,353.553390593274,477.62432936357,901.387818865997,406.970514902493,480.884601541784,505.593710403917,246.221445044903,269.258240356725,436.606229914325,880.695747690427,905.538513813742,215.058131676066,235.849528301415,257.390753524675,279.508497187474,302.076149339864,588.430114796991,883.883476483184,270.416345659799,313.249102153542,436.606229914325,711.512473537885,735.272058492637,879.275269753449,886.002257333467,752.080447824566,1771.47537380569,1820.88577346301,2043.58753176858,360.555127546399,375,390.512483795333,406.970514902493,1285.49601321824,1824.82875908947,1948.2363819619,357.945526581909,369.120576505835,381.608438061844,410.030486671418,425.73465914816,929.045208803102,1946.95274724375,1884.80768249708,1908.04219030922,2150.87191622374,2174.42521140645,1880.99043059767,2159.4270073332,2182.88799529431,1511.6216457831,1532.3592920722,1546.36670941921,1629.80060130066
"12",919.238815542512,965.660395791398,989.002022242624,1012.42283656583,1364.73440639562,167.705098312484,145.773797371133,246.221445044903,328.823660949148,375.832409459323,375,0,375,35.3553390593274,25,103.077640640442,152.069063257455,325.960120260132,350.891721190455,55.9016994374947,111.803398874989,527.375577743225,79.0569415042095,125,145.773797371133,180.277563773199,160.078105935821,111.803398874989,509.901951359278,534.438958160799,235.849528301415,215.058131676066,195.256241897666,176.776695296637,160.078105935821,235.849528301415,515.388203202208,212.132034355964,180.277563773199,176.776695296637,375,395.284707521047,525.594901040716,536.772763839597,425.73465914816,1402.23036623802,1451.29252737,1672.75969583201,347.311099736245,335.410196624968,325,316.227766016838,925,1456.23658792107,1578.76534038469,395.284707521047,381.608438061844,369.120576505835,348.209706929603,340.036762718386,605.18592184551,1583.11401989876,1542.92741242095,1565.24758424985,1802.25553127186,1825.1712248444,1544.34452114805,1812.45689603919,1835.2452152233,1219.88728987559,1237.94184031399,1255.23902106332,1328.76822659183
"13",590.021186060297,630.971473206198,651.920240520265,673.145600891813,995.301461869719,335.410196624968,325,180.277563773199,701.78344238091,750.416550990182,750,375,0,400.780488547035,375.832409459323,276.134025429682,226.384628453435,55.9016994374947,35.3553390593274,403.112887414927,279.508497187474,158.113883008419,357.945526581909,285.043856274785,261.007662722764,534.438958160799,509.901951359278,340.036762718386,160.078105935821,180.277563773199,588.430114796991,564.025708633924,539.675828623073,515.388203202208,491.172067609713,215.058131676066,176.776695296637,546.008241696039,498.121471129282,391.311896062463,237.170824512628,230.488611432322,246.221445044903,269.258240356725,279.508497187474,1037.12342563458,1085.41466730462,1304.31974607456,626.498204307083,604.669331122391,583.09518948453,561.805126356106,583.09518948453,1092.01648339208,1212.69328356349,682.367203197809,660.492240681145,638.846616959032,596.343022093828,575.543221661067,388.104367406501,1226.01998352392,1220.65556157337,1241.21915873064,1466.71401438726,1488.49756466042,1230.09146001425,1479.2312192487,1500.83310198036,986.154146165801,999.062060134404,1020.41658159793,1075.29065838033
"14",951.971638232989,998.123238883856,1021.33491079077,1044.62912078881,1393.28747930928,201.556443707464,180.277563773199,279.508497187474,309.232921921325,353.553390593274,350.891721190455,35.3553390593274,400.780488547035,0,25,125,175,350,375,25,127.47548783982,550.567888638631,70.7106781186548,134.629120178363,158.113883008419,145.773797371133,125,106.066017177982,530.330085889911,555.090082779363,201.556443707464,180.277563773199,160.078105935821,141.42135623731,125,246.221445044903,534.438958160799,176.776695296637,145.773797371133,158.113883008419,381.608438061844,403.112887414927,538.51648071345,548.292804986533,430.116263352131,1422.14626533279,1471.39389695622,1693.55395544399,313.249102153542,302.076149339864,292.617497767991,285.043856274785,941.076511235936,1475.84721431454,1598.82769553195,360.555127546399,347.311099736245,335.410196624968,316.227766016838,309.232921921325,610.327780786685,1600.78105935821,1554.22810423696,1576.78470312215,1815.38563396321,1838.47763108502,1554.42915567098,1825.1712248444,1848.14095782762,1220.91154470748,1239.45552562405,1256.23445264011,1331.58739855858
"15",929.045208803102,975,998.123238883856,1021.33491079077,1368.6215693171,190.394327646598,167.705098312484,257.390753524675,333.541601603158,378.318648760539,375.832409459323,25,375.832409459323,25,0,100,150,325,350,35.3553390593274,103.077640640442,525.594901040716,55.9016994374947,111.803398874989,134.629120178363,167.705098312484,145.773797371133,90.1387818865997,505.593710403917,530.330085889911,223.606797749979,201.556443707464,180.277563773199,160.078105935821,141.42135623731,223.606797749979,509.901951359278,195.256241897666,160.078105935821,152.069063257455,360.555127546399,381.608438061844,515.388203202208,525.594901040716,410.030486671418,1397.54248593737,1446.76362962303,1668.83192682786,325.960120260132,313.249102153542,302.076149339864,292.617497767991,917.196816392207,1451.29252737,1574.20614914312,375,360.555127546399,347.311099736245,325,316.227766016838,590.021186060297,1576.58650254276,1531.74736820404,1554.22810423696,1792.34483289349,1815.38563396321,1532.3592920722,1802.25553127186,1825.1712248444,1202.60134708057,1220.91154470748,1237.94184031399,1312.44047484067
"16",838.525491562421,883.529852353615,906.228448019593,929.045208803102,1270.08857958805,176.776695296637,152.069063257455,176.776695296637,431.566912540802,477.62432936357,475.657439761011,103.077640640442,276.134025429682,125,100,0,50,225,250,127.47548783982,25,425.73465914816,90.1387818865997,50,55.9016994374947,261.007662722764,237.170824512628,90.1387818865997,406.970514902493,431.566912540802,316.227766016838,292.617497767991,269.258240356725,246.221445044903,223.606797749979,141.42135623731,412.310562561766,279.508497187474,235.849528301415,167.705098312484,282.842712474619,301.039864469807,425,437.321392113398,336.340601176843,1299.27864601863,1348.37865601618,1570.03184681076,388.908729652601,371.651718682963,355.316760088797,340.036762718386,822.344210169926,1353.23686027244,1475.84721431454,442.295150323853,424.264068711928,406.970514902493,375,360.555127546399,512.95711321708,1480.07601156157,1442.65380462535,1464.79520752903,1700.73513516949,1723.55011531432,1445.03460166184,1711.17649586476,1733.85408843997,1131.92314226718,1149.18449345612,1167.26175299288,1237.94184031399
"17",794.11900871343,838.525491562421,860.958767886128,883.529852353615,1220.91154470748,190.394327646598,167.705098312484,145.773797371133,480.884601541784,527.375577743225,525.594901040716,152.069063257455,226.384628453435,175,150,50,0,175,200,176.776695296637,55.9016994374947,375.832409459323,134.629120178363,70.7106781186548,55.9016994374947,309.232921921325,285.043856274785,125,357.945526581909,382.426463519459,364.005494464026,340.036762718386,316.227766016838,292.617497767991,269.258240356725,111.803398874989,364.005494464026,325,279.508497187474,195.256241897666,250,265.753645318366,381.608438061844,395.284707521047,305.163890393343,1250.249975005,1299.27864601863,1520.69063257455,425.73465914816,406.970514902493,388.908729652601,371.651718682963,775.403120963541,1304.31974607456,1426.75330733803,480.234317807464,460.977222864644,442.295150323853,406.970514902493,390.512483795333,477.62432936357,1432.00034916197,1398.66007306994,1420.60726451754,1655.29453572468,1677.98241945498,1402.007489281,1666.02070815461,1688.56447907683,1098.29413182444,1114.95515604889,1133.57840487546,1202.08152801713
"18",645.174395028197,686.476510887299,707.548584904245,728.868986855663,1049.40459309077,305.163890393343,291.547594742265,160.078105935821,654.31261641512,701.78344238091,700.446286306095,325.960120260132,55.9016994374947,350,325,225,175,0,25,350.891721190455,226.384628453435,201.556443707464,304.138126514911,230.488611432322,206.155281280883,480.884601541784,456.207189772366,285.043856274785,190.394327646598,213.600093632938,534.438958160799,509.901951359278,485.41219597369,460.977222864644,436.606229914325,160.078105935821,201.556443707464,491.172067609713,443.001128666734,335.410196624968,201.556443707464,200,250,270.416345659799,250,1079.35165724615,1128.05141726785,1348.37865601618,570.635610525666,548.862460002504,527.375577743225,506.211418282915,614.918693812442,1133.85404704486,1255.48795294897,626.498204307083,604.669331122391,583.09518948453,540.832691319598,520.21630116712,380.788655293195,1264.91106406735,1248.24877328199,1269.35022747861,1498.54095706457,1520.69063257455,1255.48795294897,1510.38074669932,1532.3592920722,991.526600752597,1005.60926805594,1026.21878758869,1085.41466730462
"19",625,665.676347784717,686.476510887299,707.548584904245,1025,325.960120260132,313.249102153542,176.776695296637,679.153885360306,726.722092687432,725.430906427345,350.891721190455,35.3553390593274,375,350,250,200,25,0,375.832409459323,251.246890528022,176.776695296637,328.823660949148,254.950975679639,230.488611432322,505.593710403917,480.884601541784,309.232921921325,167.705098312484,190.394327646598,559.016994374947,534.438958160799,509.901951359278,485.41219597369,460.977222864644,180.277563773199,180.277563773199,515.388203202208,467.038542306735,357.945526581909,206.155281280883,201.556443707464,235.849528301415,257.390753524675,251.246890528022,1055.04739230046,1103.68700273221,1323.82022948737,592.663479556485,570.635610525666,548.862460002504,527.375577743225,592.663479556485,1109.61705105861,1231.10722522451,648.556088553642,626.498204307083,604.669331122391,561.805126356106,540.832691319598,371.651718682963,1241.21915873064,1227.29377086336,1248.24877328199,1476.48230602334,1498.54095706457,1235.16193270356,1488.49756466042,1510.38074669932,977.880360780397,991.526600752597,1012.42283656583,1070.04672795163
"20",962.094070244693,1007.78221853732,1030.77640640442,1053.8619454179,1397.54248593737,223.606797749979,201.556443707464,291.547594742265,316.227766016838,357.945526581909,353.553390593274,55.9016994374947,403.112887414927,25,35.3553390593274,127.47548783982,176.776695296637,350.891721190455,375.832409459323,0,125,550,55.9016994374947,127.47548783982,152.069063257455,134.629120178363,111.803398874989,90.1387818865997,527.375577743225,552.268050859363,190.394327646598,167.705098312484,145.773797371133,125,106.066017177982,237.170824512628,530.330085889911,160.078105935821,125,134.629120178363,369.120576505835,391.311896062463,529.740502510427,538.51648071345,416.082924427331,1417.96509124872,1467.35305908292,1690.04437811556,291.547594742265,279.508497187474,269.258240356725,261.007662722764,934.07708461347,1471.39389695622,1594.71784338171,340.036762718386,325.960120260132,313.249102153542,292.617497767991,285.043856274785,596.343022093828,1594.71784338171,1543.53490404331,1566.24551076771,1805.89313083582,1829.10497238403,1542.92741242095,1815.38563396321,1838.47763108502,1204.15945787923,1222.9574808635,1239.45552562405,1315.76973669408
